"","OriginID","ID","camadasConvolucionais","maxpooling1","batchNormalization1","camadasDensas","dropout","learningIndex","batchIndex","numEpocas","maxpooling2","maxpooling3","maxpooling4","maxpooling5","maxpooling6","maxpooling7","maxpooling8","batchNormalization2","batchNormalization3","batchNormalization4","batchNormalization5","batchNormalization6","batchNormalization7","batchNormalization8","numFiltrosInd2","numFiltrosInd3","numFiltrosInd4","numFiltrosInd5","numFiltrosInd6","numFiltrosInd7","numFiltrosInd8","tamanhoFiltros2","tamanhoFiltros3","tamanhoFiltros4","tamanhoFiltros5","tamanhoFiltros6","tamanhoFiltros7","tamanhoFiltros8","neuroniosDensos1","neuroniosDensos2","Media","tempo.medio","sd_loss","sd_acc","loss","accuracy","time","Ferramenta","pos","EXP"
"1",51,"IR5",2,1,1,2,0.44,5,4,227,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,26,NA,0.665419444,1710.153319,0.0126512785942449,0.00432502524261491,0.694288194179535,0.766096659501394,840.680939149857,"IR","5","EXP1"
"2",25,"IR1",2,1,1,2,0.38,4,5,101,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,40,NA,0.752965331,241.8587295,0.0345900225698244,0.00856657861304678,0.790665398041407,0.747373338540395,75.7334583679835,"IR","1","EXP1"
"3",1,"IR2",2,1,1,2,0.24,5,5,187,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,68,NA,0.764699066,1110.452532,0.0159343120721916,0.00538020656872701,0.793214982748032,0.729060000181198,620.477248048782,"IR","2","EXP1"
"4",39,"IR3",2,1,1,1,0.34,4,6,207,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,0.789840353,222.9194499,0.0332028250366188,0.00930335092497303,0.819381791353226,0.729426668087641,131.498756996791,"IR","3","EXP1"
"5",32,"IR4",4,1,0,2,0.34,4,9,150,1,1,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,7,6,7,NA,NA,NA,NA,9,7,11,NA,NA,NA,NA,100,NA,0.796724355,438.6502936,0.0379216448648067,0.012151271282704,0.835788430770238,0.720433334509532,127.59561530749,"IR","4","EXP1"
"6",50,"OP1",4,0,0,2,0.29,4,7,100,1,1,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,6,7,6,NA,NA,NA,NA,7,7,9,NA,NA,NA,NA,8,NA,0.691459954,784,0.0346898076385935,0.0115512680409094,0.757760341962179,0.765770002206167,104.798955202103,"OP","1","EXP1"
"7",0,"OP2",4,1,1,2,0.47,5,4,231,0,1,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,5,5,8,NA,NA,NA,NA,5,7,9,NA,NA,NA,NA,50,NA,0.700742364,12245,0.0165105734189771,0.0054262084780145,0.750847206513087,0.757303337256114,469.601758551598,"OP","2","EXP1"
"8",92,"OP3",3,1,0,2,0.32,5,6,158,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,8,7,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,49,NA,0.706633449,4333,0.0250018528193373,0.00901801177045408,0.741363590955734,0.745063332716624,570.635636242231,"OP","3","EXP1"
"9",36,"OP4",4,1,0,2,0.22,4,10,138,0,1,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,8,6,6,NA,NA,NA,NA,7,7,9,NA,NA,NA,NA,47,NA,0.716466963,1559,0.0373144967389587,0.0153376395161242,0.792239516973495,0.729879995187124,197.280905818939,"OP","4","EXP1"
"10",64,"OP5",5,1,0,2,0.27,4,8,62,0,1,0,1,NA,NA,NA,0,0,0,0,NA,NA,NA,7,6,7,6,NA,NA,NA,7,7,9,5,NA,NA,NA,15,NA,0.717452168,632,0.0312605577087001,0.00984361783795818,0.80070410768191,0.741420008738836,111.120534650485,"OP","5","EXP1"
